Class, Alias, Occurance, Right, Accuracy
Botnet:ARES, 0, 75, 74, 98.667%
Brute Force:FTP-Patator, 1, 26, 8, 30.769%
Brute Force:SSH-Patator, 2, 252, 235, 93.254%
DDoS:LOIT, 3, 9369, 9367, 99.979%
DoS / DDoS:DoS GoldenEye, 4, 741, 737, 99.460%
DoS / DDoS:DoS Hulk, 5, 23178, 23178, 100.000%
DoS / DDoS:DoS Slowhttptest, 6, 419, 416, 99.284%
DoS / DDoS:DoS slowloris, 7, 384, 372, 96.875%
DoS / DDoS:Heartbleed, 8, 0, 0, 100.000%
Infiltration:Dropbox download - (Portscan + Nmap) from victim, 9, 7568, 6929, 91.557%
Normal, 10, 171413, 170926, 99.716%
PortScan:PortScan - Firewall off, 11, 15844, 15660, 98.839%
PortScan:PortScan - Firewall on, 12, 38, 30, 78.947%
Web Attack:Sql Injection, 13, 1, 0, 0.000%
Web Attack:XSS, 14, 68, 34, 50.000%

Benign, 10, 171413, 170926, 99.716%
Attack, !10, 57963, 57040, 98.408%
Overall, ALL, 229376, 227966, 99.385%
