Class, Alias, Occurance, Right, Accuracy
Botnet ARES, 0, 75, 71, 94.667%
FTP-Patator, 1, 25, 18, 72.000%
SSH-Patator, 2, 253, 248, 98.024%
DDoS LOIT, 3, 9370, 9368, 99.979%
DoS GoldenEye, 4, 745, 745, 100.000%
DoS Hulk, 5, 23163, 23162, 99.996%
DoS Slowhttptest, 6, 422, 421, 99.763%
DoS slowloris, 7, 384, 384, 100.000%
Heartbleed, 8, 0, 0, 100.000%
Infiltration, 9, 7563, 7027, 92.913%
Benign, 10, 171430, 171264, 99.903%
PortScan - Firewall off, 11, 15841, 15730, 99.299%
PortScan - Firewall on, 12, 37, 31, 83.784%
SQL Injection, 13, 1, 1, 100.000%
XSS, 14, 67, 61, 91.045%

Benign, 10, 171430, 171264, 99.903%
Attack, !10, 57946, 57267, 98.828%
Overall, ALL, 229376, 228531, 99.632%
